,mean
0,0.7130407954601956
1,0.5814070782159018
2,1.6652907570370805
3,0.4774413948607953
4,0.7823905706849712
5,1.6335380305968548
6,1.4293016243748708
7,1.1385169683257919
8,1.4346221756184991
9,1.1288933419521654
10,1.3528572012766016
11,0.7071323529411764
12,0.2475566962260967
13,1.107958360267184
14,1.4343108619321852
15,1.0973040322234324
16,1.2328492818456054
17,0.6059134884723121
18,1.80946466646099
19,0.3910219809413814
20,0.6196236116824352
21,0.791872713542114
22,1.3593017284374755
23,0.7937142886336891
24,0.6713580231043467
25,1.3949702650290885
26,1.11956318973259
27,1.1276140934229169
28,0.7809578783772788
29,1.598095684481431
30,1.4360022954986191
31,0.8772285067873302
32,1.1663974388168392
33,0.9737852833441067
34,1.7712353124816362
35,0.914819561565885
36,0.9264299063493067
37,1.6391524610382078
38,1.6547632396826406
39,1.0366721640915644
40,1.1597591604285609
41,1.306094269230016
42,1.7792201609664848
43,0.7399542153736155
44,0.9818145217339223
45,1.128621325507072
46,1.4354536390268857
47,1.1200554298642535
48,0.9664105987338452
49,1.3644959060547293
50,1.1893700335298187
51,1.1893503016591256
52,1.030485418145203
53,0.9670920599008834
54,1.3506712099175335
55,0.722619532428356
56,1.1397321489784724
57,1.1294327192415428
58,1.2033676801140034
59,0.5896003016591252
60,1.300803577549901
61,1.2198369432226903
62,0.9029253724216958
63,0.8220951849809317
64,0.8595102981796986
65,0.830880521439345
66,0.8487538879232882
67,0.7280618401206637
68,0.7698372212566219
69,0.8281186166774402
70,1.1188332978296214
71,0.6749208144796383
72,0.6457756055219291
73,0.7344198987287224
74,0.9007371439834675
75,0.965016968325792
76,0.7224838972302208
77,1.0158164188752425
78,1.0072041769505007
79,0.8827092760180995
80,0.742588792335116
81,0.8045365769223236
82,1.0863593166825636
83,0.8234785067873305
84,0.6498739569568189
85,0.9139770029492881
86,1.0107392359086365
87,0.6584522776745627
88,0.6949773311467317
89,0.7149000798723648
90,0.6875767317461322
91,0.7461445853668702
92,0.7632425883254504
93,0.6626830469053319
94,0.8761272037100658
95,0.6609522776745627
96,0.6918964344792966
97,0.8034522776745627
98,0.8080676622899473
99,0.6659522776745628
100,0.6659522776745628
101,0.6659522776745628
102,0.6659522776745628
103,0.6659522776745628
104,0.6659522776745628
105,0.6659522776745628
106,0.6659522776745628
107,0.6659522776745628
108,0.6659522776745628
109,0.6659522776745628
110,0.6659522776745628
111,0.6659522776745628
112,0.6659522776745628
113,0.6659522776745628
114,0.6659522776745628
115,0.6659522776745628
116,0.6659522776745628
117,0.6659522776745628
118,0.6659522776745628
119,0.6659522776745628
